0,United States,California,San Diego,92119,2.0,1.0,2.0,1.0,71,2.0,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,2.0,Credit card (automatic),98.65,6962.85,28,5101
1,United States,California,Jamestown,95327,1.0,1.0,1.0,1.0,16,2.0,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,2.0,Credit card (automatic),93.2,1573.7,75,5497
0,United States,California,Littlerock,93543,1.0,1.0,1.0,1.0,32,2.0,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,2.0,Credit card (automatic),104.05,3416.85,60,2335
1,United States,California,El Monte,91731,1.0,2.0,2.0,1.0,24,1.0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,2.0,Credit card (automatic),40.65,933.3,85,3843
0,United States,California,Los Angeles,90043,1.0,1.0,2.0,2.0,20,2.0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1.0,Mailed check,20.05,406.05,43,2698
1,United States,California,Rio Dell,95562,1.0,1.0,1.0,1.0,2,2.0,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,2.0,Electronic check,75.55,166.3,77,4320
0,United States,California,Burson,95225,1.0,1.0,2.0,1.0,52,2.0,No,DSL,Yes,No,Yes,No,Yes,No,One year,2.0,Mailed check,64.3,3410.6,73,4405
0,United States,California,Santa Rosa,95407,1.0,1.0,2.0,1.0,37,2.0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,2.0,Bank transfer (automatic),19.85,717.5,20,5707
0,United States,California,Malibu,90265,1.0,1.0,1.0,1.0,41,2.0,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,2.0,Bank transfer (automatic),74.65,3090.65,77,3859
0,United States,California,Gerber,96035,2.0,1.0,2.0,2.0,58,2.0,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,2.0,Credit card (automatic),75.2,4300.8,46,4559
0,United States,California,Daggett,92327,1.0,1.0,2.0,2.0,9,2.0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1.0,Mailed check,20.35,191.1,70,5352
0,United States,California,Penn Valley,95946,1.0,2.0,1.0,1.0,4,2.0,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1.0,Electronic check,72.75,317.75,50,4503
0,United States,California,Sacramento,95829,2.0,1.0,2.0,1.0,36,2.0,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,2.0,Electronic check,95.4,3474.2,44,5111
0,United States,California,Fulton,95439,2.0,1.0,1.0,1.0,34,2.0,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,2.0,Electronic check,105.35,3540.65,74,5503
0,United States,California,Green Valley Lake,92341,2.0,1.0,2.0,1.0,33,2.0,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,2.0,Electronic check,93.35,3092,40,3348
1,United States,California,Tarzana,91356,1.0,1.0,1.0,1.0,18,2.0,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,2.0,Bank transfer (automatic),99.85,1776.95,100,3068
0,United States,California,San Mateo,94401,2.0,1.0,1.0,1.0,10,2.0,No,DSL,Yes,No,No,No,No,No,Month-to-month,2.0,Mailed check,51.65,524.5,45,4292
0,United States,California,Klamath,95548,1.0,2.0,1.0,1.0,63,2.0,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,2.0,Bank transfer (automatic),89.6,5538.8,38,4438
1,United States,California,Malibu,90263,1.0,2.0,1.0,1.0,2,2.0,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,2.0,Electronic check,79.6,195.05,94,4322
0,United States,California,West Hills,91307,1.0,1.0,1.0,1.0,62,2.0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,2.0,Credit card (automatic),19.2,1123.65,64,4937
0,United States,California,Topanga,90290,1.0,1.0,1.0,1.0,65,2.0,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,2.0,Credit card (automatic),111.05,7107,38,5261
0,United States,California,Marysville,95901,1.0,1.0,2.0,2.0,16,2.0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1.0,Mailed check,19.35,275.9,31,4146
0,United States,California,Los Angeles,90057,2.0,1.0,1.0,1.0,52,2.0,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,2.0,Credit card (automatic),79.75,4217.8,49,4142
0,United States,California,Sultana,93666,2.0,2.0,2.0,1.0,61,2.0,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1.0,Bank transfer (automatic),25.0,1501.75,78,6421
1,United States,California,Antelope,95843,2.0,1.0,2.0,1.0,13,2.0,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,2.0,Credit card (automatic),74.4,896.75,89,3687
0,United States,California,Los Angeles,90037,1.0,1.0,2.0,2.0,6,2.0,No,DSL,No,No,No,No,No,No,Month-to-month,1.0,Mailed check,45.5,285.2,51,5450
1,United States,California,Camarillo,93012,2.0,1.0,2.0,1.0,20,2.0,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,2.0,Electronic check,90.2,1776.55,85,2058
0,United States,California,Boulevard,91905,1.0,1.0,1.0,1.0,9,1.0,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,1.0,Electronic check,40.75,359.4,24,2973
0,United States,California,Sacramento,95818,1.0,1.0,1.0,1.0,39,1.0,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,2.0,Credit card (automatic),50.65,1905.4,31,5433
0,United States,California,Maywood,90270,2.0,1.0,2.0,2.0,19,2.0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1.0,Mailed check,19.8,344.5,27,4464
0,United States,California,Campo,91906,2.0,1.0,1.0,1.0,1,2.0,Yes,DSL,No,No,No,No,No,No,Month-to-month,2.0,Credit card (automatic),49.8,49.8,79,4796
